,CarModel,AgeOfCar,Price,OdoMeterReading,Gas Type,NoOfOwners,Brand,Brand Encoded,Broker,Direct Owner,Trustmark Broker,Manual,Automatic
25,Honda City i DTEC V,9,0.05574324324324324,0.5099672210074339,1,2,Honda,9,0.0,1.0,0.0,0.0,1.0
26,Nissan Micra XL,9,0.021396396396396393,-0.5621031804494312,4,2,Nissan,21,0.0,1.0,0.0,0.0,1.0
27,Mahindra XUV500 W8 4WD,11,0.07094594594594594,0.21600551692796144,1,0,Mahindra,17,1.0,0.0,0.0,0.0,1.0
28,Hyundai Verna CRDi 1.6 AT EX,5,0.12162162162162161,-0.8837243008864907,1,2,Hyundai,10,0.0,1.0,0.0,1.0,0.0
29,Maruti Wagon R LXI,22,0.00563063063063063,1.088885237794141,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
30,Mahindra XUV500 W8 2WD,9,0.0822072072072072,0.7243813012988068,1,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
31,Maruti Ritz VDi,11,0.010135135135135134,0.2955531407160608,1,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
32,Maruti Swift DDiS LDI,7,0.059684684684684686,-0.261923468041509,1,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
33,Mahindra Xylo H4 ABS,7,0.09346846846846846,-0.5621031804494312,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
34,Maruti Alto 800 LXI,4,0.019144144144144143,-1.3125524614692368,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
35,Maruti Wagon R Stingray VXI,9,0.03153153153153153,0.18834610057037432,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
36,Ford Aspire Titanium Plus Diesel BSIV,5,0.0948197072072072,-0.9909313410321773,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
37,Maruti Zen Estilo LXI BSIII,15,0.009572072072072071,-0.5621031804494312,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
38,Maruti Swift Dzire VDI,4,0.07432432432432431,-0.5621031804494312,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
39,Volkswagen Polo GTI,6,0.09346846846846846,-0.9909313410321773,4,2,Volkswagen,27,1.0,0.0,0.0,1.0,0.0
40,Hyundai Santro Xing XL eRLX Euro III,17,0.009009009009009009,-0.1332750198666852,4,2,Hyundai,10,1.0,0.0,0.0,0.0,1.0
41,Maruti Celerio VDi,7,0.02477477477477477,0.5099672210074339,1,4,Maruti,18,0.0,1.0,0.0,0.0,1.0
42,Tata Manza Aura Quadrajet BS IV,11,0.026013400900900898,-0.6693102205951177,1,2,Tata,25,0.0,1.0,0.0,0.0,1.0
43,Maruti Alto 800 LXI,11,0.020270270270270268,0.5099672210074339,4,4,Maruti,18,0.0,1.0,0.0,0.0,1.0
44,Hyundai Grand i10 Magna,8,0.033783783783783786,0.08113906042468783,4,2,Hyundai,10,0.0,1.0,0.0,0.0,1.0
45,Chevrolet Cruze LT,12,0.037162162162162164,0.16690469254123702,1,2,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
46,Maruti Ciaz VXi,8,0.059684684684684686,0.0764648334743359,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
47,Toyota Innova 2.5 VX (Diesel) 7 Seater,10,0.10472972972972971,0.2955531407160608,1,4,Toyota,26,0.0,1.0,0.0,0.0,1.0
48,Mahindra Bolero Power Plus Plus AC BSIV PS,8,0.04617117117117117,2.8685221042125373,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
49,Mahindra Thar CRDe,5,0.10472972972972971,-0.9909313410321773,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
50,Maruti Ritz VDi,11,0.025900900900900897,0.9387953815901798,1,1,Maruti,18,0.0,1.0,0.0,0.0,1.0
51,Maruti Swift ZXi BSIV,6,0.059684684684684686,-0.6049859965077058,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
52,Maruti Wagon R VXI BS IV with ABS,9,0.030405405405405404,-0.04750938775013598,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
53,BMW X1 sDrive 20d xLine,6,0.30743243243243246,-1.1410211972361384,1,0,BMW,2,0.0,1.0,0.0,1.0,0.0
54,Tata Zest Quadrajet 1.3 XM,8,0.04279279279279279,0.7243813012988068,1,0,Tata,25,0.0,1.0,0.0,0.0,1.0
55,Nissan Micra Active XV S,10,0.016216216216216214,-0.7765172607408042,4,0,Nissan,21,0.0,1.0,0.0,0.0,1.0
56,Hyundai Verna CRDi SX,15,0.023648536036036033,1.7106860706391227,1,4,Hyundai,10,0.0,1.0,0.0,0.0,1.0
57,Tata Hexa XTA,6,0.13288288288288286,-0.3476891001580582,1,0,Tata,25,0.0,1.0,0.0,1.0,0.0
58,Honda Brio V MT,9,0.04560810810810811,-0.7839359879188857,4,0,Honda,9,0.0,0.0,1.0,0.0,1.0
59,Maruti Alto K10 VXI,8,0.027590090090090086,-0.1332750198666852,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
60,Ford EcoSport 1.5 TDCi Titanium BSIV,5,0.10472972972972971,-0.9610420182395598,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
61,Mahindra Scorpio REV 116,17,0.022522522522522518,3.2973502647952833,4,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
62,Ford Aspire Titanium Diesel BSIV,7,0.0653153153153153,1.907968465915215,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
63,Hyundai Xcent 1.1 CRDi S,7,0.02815315315315315,2.3324869034841043,1,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
64,Maruti Celerio VXI,6,0.04617117117117117,0.5742914450948458,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
65,Maruti Alto LXi,17,0.004504504504504504,0.7243813012988068,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
66,Toyota Innova Crysta 2.4 GX AT,5,0.1920045045045045,-0.9057231855243856,1,2,Toyota,26,1.0,0.0,0.0,1.0,0.0
67,Maruti Swift ZDi,11,0.037162162162162164,-0.24048206001237168,1,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
68,Volkswagen Polo Diesel Trendline 1.2L,11,0.027590090090090086,-0.24048206001237168,1,2,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
69,Mahindra Scorpio 2.6 SLX CRDe,17,0.03153153153153153,1.153209461881553,1,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
70,Hyundai Verna CRDi 1.6 SX Option,5,0.12725225225225223,-0.8530630874048244,1,0,Hyundai,10,1.0,0.0,0.0,0.0,1.0
71,Ford Figo Diesel Titanium,11,0.04560810810810811,0.3305455186196129,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
72,Nissan Terrano XL Plus 85 PS,8,0.04853603603603603,0.7243813012988068,1,0,Nissan,21,0.0,1.0,0.0,0.0,1.0
73,Maruti Ertiga 1.5 VDI,3,0.059684684684684686,0.5099672210074339,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
74,Mahindra Scorpio 2.6 CRDe SLE,10,0.03153153153153153,0.08113906042468783,1,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
75,Chevrolet Spark 1.0 LS,11,0.012837837837837837,0.5099672210074339,4,2,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
76,Hyundai Grand i10 1.2 Kappa Magna AT,6,0.059684684684684686,-0.9932898959153823,4,0,Hyundai,10,1.0,0.0,0.0,1.0,0.0
77,Skoda Fabia 1.2 MPI Ambition Plus,11,0.03153153153153153,-0.3476891001580582,4,0,Skoda,24,0.0,1.0,0.0,0.0,1.0
78,Hyundai i10 Era,10,0.027590090090090086,-0.3476891001580582,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
79,Jeep Compass 2.0 Longitude Option BSIV,5,0.18918918918918917,-0.3476891001580582,1,0,Jeep,13,0.0,1.0,0.0,0.0,1.0
80,Audi A6 2.0 TDI Premium Plus,10,0.14414414414414414,-0.16543713191039114,1,0,Audi,1,1.0,0.0,0.0,1.0,0.0
81,Maruti Swift VDI BSIV,9,0.041666666666666664,0.5099672210074339,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
82,Tata New Safari DICOR 2.2 GX 4x2 BS IV,11,0.02815315315315315,0.2955531407160608,1,2,Tata,25,0.0,1.0,0.0,0.0,1.0
83,Maruti Alto 800 CNG LXI Optional,4,0.03153153153153153,1.153209461881553,0,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
84,Maruti Eeco 5 Seater AC BSIV,6,0.027027027027027025,-0.7765172607408042,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
85,Maruti Ciaz 1.4 Alpha,5,0.1019144144144144,-0.9480485249739027,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
86,Ford Figo 1.5D Titanium MT,6,0.0653153153153153,-0.666694368815563,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
87,Maruti Swift Dzire VDI,5,0.05405405405405405,-0.3476891001580582,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
88,Honda Jazz 1.5 VX i DTEC,7,0.056869369369369364,-0.6693102205951177,1,0,Honda,9,1.0,0.0,0.0,0.0,1.0
89,Chevrolet Beat Diesel LT,10,0.017229729729729727,0.08113906042468783,1,0,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
90,Hyundai EON D Lite,7,0.021396396396396393,-0.7765172607408042,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
91,Maruti Ertiga SHVS VDI,6,0.09797297297297296,-0.1332750198666852,1,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
92,Maruti SX4 ZDI Leather,11,0.04279279279279279,-0.1332750198666852,1,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
93,Hyundai EON Magna Plus Option,5,0.033783783783783786,-0.8837243008864907,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
94,Renault Fluence 1.5,10,0.04842342342342342,-0.1332750198666852,1,0,Renault,23,0.0,1.0,0.0,0.0,1.0
95,Ford Figo Diesel Titanium,12,0.019144144144144143,0.5099672210074339,1,4,Ford,8,0.0,1.0,0.0,0.0,1.0
96,Ford Endeavour Titanium 4X2,12,0.0653153153153153,1.789461803738173,1,2,Ford,8,1.0,0.0,0.0,0.0,1.0
97,Hyundai i10 Magna 1.1,15,0.01126126126126126,0.5099672210074339,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
98,Maruti Wagon R VXI BS IV,9,0.021396396396396393,0.08113906042468783,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
99,Hyundai Getz GLS ABS,18,0.0057432432432432436,-0.9480485249739027,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
100,Maruti Alto LXi,15,0.010135135135135134,0.5099672210074339,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
101,Honda Civic 1.8 S MT,16,0.023648536036036033,0.08113906042468783,4,2,Honda,9,0.0,1.0,0.0,0.0,1.0
102,Maruti Ertiga ZDI,9,0.07263513513513513,-0.15235787301261738,1,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
103,Maruti Alto 800 LXI,9,0.018018018018018014,-0.21460228052120298,4,2,Maruti,18,1.0,0.0,0.0,0.0,1.0
104,Maruti Alto K10 2010-2014 VXI,12,0.020270270270270268,-0.5621031804494312,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
105,Maruti Swift VDI BSIV,8,0.0518018018018018,1.582037622464299,1,4,Maruti,18,0.0,1.0,0.0,0.0,1.0
106,Ford Fiesta Titanium 1.5 TDCi,12,0.03434684684684685,0.7243813012988068,1,2,Ford,8,0.0,1.0,0.0,0.0,1.0
107,Maruti Swift Ldi BSIII,14,0.03153153153153153,3.25170150710125,1,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
108,Hyundai EON 1.0 Era Plus,6,0.029279279279279275,-0.8014321768706618,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
109,Maruti Zen LXi - BS III,18,0.011824324324324323,-0.690751628624255,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
110,Maruti Omni CNG,16,0.0028153153153153147,0.7243813012988068,0,1,Maruti,18,0.0,1.0,0.0,0.0,1.0
111,Maruti Zen Estilo 1.1 VXI BSIII,15,0.01126126126126126,0.08113906042468783,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
112,Tata Indica DLS,17,0.00731981981981982,5.012662907126267,1,2,Tata,25,0.0,1.0,0.0,0.0,1.0
113,Honda Amaze S i-Dtech,9,0.045157657657657654,0.05969765239555053,1,0,Honda,9,1.0,0.0,0.0,0.0,1.0
114,Skoda Laura Ambiente 2.0 TDI CR MT,11,0.0411036036036036,-0.3048062840997836,1,0,Skoda,24,1.0,0.0,0.0,0.0,1.0
115,Maruti Eeco 7 Seater Standard BSIV,5,0.02815315315315315,-0.9909313410321773,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
116,Maruti Baleno Zeta 1.3,7,0.0653153153153153,0.12402187648296242,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
117,Mercedes-Benz C-Class Progressive C 220d,5,0.42567567567567566,-1.2053454213235502,1,0,Mercedes-Benz,19,1.0,0.0,0.0,1.0,0.0
118,Maruti Swift VDI BSIV,6,0.05518006756756757,-0.8837243008864907,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
119,Maruti Zen Estilo LX BSIV,13,0.007882882882882882,-0.3476891001580582,4,4,Maruti,18,0.0,1.0,0.0,0.0,1.0
120,Chevrolet Beat Diesel LT,7,0.037162162162162164,-0.6693102205951177,1,2,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
121,Tata Tigor 1.2 Revotron XT,5,0.04954943693693693,-0.5621031804494312,4,0,Tata,25,0.0,1.0,0.0,0.0,1.0
122,Maruti Wagon R LXI BS IV,10,0.033783783783783786,0.2955531407160608,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
123,Fiat Linea Classic 1.3 Multijet,8,0.037162162162162164,1.367623542172926,1,0,Fiat,6,0.0,1.0,0.0,0.0,1.0
124,Hyundai EON Era Plus,5,0.037162162162162164,-0.9909313410321773,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
125,Mahindra TUV 300 mHAWK100 T8,6,0.08783783783783783,-0.8837243008864907,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
126,Renault Lodgy 85PS RxL,6,0.07657657657657657,-0.1332750198666852,1,0,Renault,23,0.0,1.0,0.0,0.0,1.0
127,Honda Amaze E i-Dtech,8,0.03153153153153153,0.810146933415356,1,2,Honda,9,0.0,1.0,0.0,0.0,1.0
128,Hyundai i20 Active 1.4 SX,5,0.09008997747747746,-0.5621031804494312,1,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
129,Volkswagen Vento Diesel Highline,11,0.04504504504504504,0.5099672210074339,1,2,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
130,Maruti Wagon R LXI,17,0.007882882882882882,-0.09019923113614835,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
131,Renault Koleos 2.0 Diesel,11,0.0822072072072072,0.2955531407160608,1,2,Renault,23,0.0,1.0,0.0,1.0,0.0
132,Mahindra Scorpio S7 140 BSIV,5,0.12162162162162161,-0.9909313410321773,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
133,Volkswagen Vento IPL II Diesel Trendline,12,0.029279279279279275,0.9387953815901798,1,0,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
134,Maruti Swift ZDi BSIV,6,0.04842342342342342,0.08113906042468783,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
135,Hyundai EON Era Plus,8,0.025900900900900897,-0.8837243008864907,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
136,Renault KWID Climber 1.0 AMT,6,0.03153153153153153,-0.9909313410321773,4,0,Renault,23,0.0,1.0,0.0,1.0,0.0
137,Hyundai Santro Xing XG eRLX Euro III,17,0.007882882882882882,1.153209461881553,4,2,Hyundai,10,0.0,1.0,0.0,0.0,1.0
138,Mahindra XUV500 W6 2WD,8,0.09065315315315314,0.5099672210074339,1,4,Mahindra,17,0.0,1.0,0.0,0.0,1.0
139,Tata New Safari DICOR 2.2 GX 4x2 BS IV,11,0.033783783783783786,0.2955531407160608,1,0,Tata,25,0.0,1.0,0.0,0.0,1.0
140,Tata Zest Quadrajet 1.3 75PS XE,8,0.037162162162162164,0.7243813012988068,1,2,Tata,25,0.0,1.0,0.0,0.0,1.0
141,Ford Fiesta Classic 1.4 Duratorq CLXI,11,0.04842342342342342,0.5135050533322415,1,0,Ford,8,1.0,0.0,0.0,0.0,1.0
142,Renault Duster 110PS Diesel RxL,8,0.050112612612612614,-0.53802447923271,1,0,Renault,23,1.0,0.0,0.0,0.0,1.0
143,Maruti Alto LX,17,0.014639639639639638,1.58847004487304,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
144,Honda City 1.5 GXI,18,0.005067567567567568,1.796451702755672,4,4,Honda,9,0.0,1.0,0.0,0.0,1.0
145,Mahindra Bolero SLX,12,0.037162162162162164,0.5099672210074339,1,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
146,Hyundai Santro GLS I - Euro I,18,0.006193693693693693,-0.1332750198666852,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
147,Hyundai EON Era Plus,11,0.021959459459459457,0.08113906042468783,4,2,Hyundai,10,0.0,1.0,0.0,0.0,1.0
148,Hyundai Elite i20 Asta Option CVT BSIV,6,0.06925675675675674,-0.8837243008864907,4,0,Hyundai,10,1.0,0.0,0.0,1.0,0.0
149,Mahindra Jeep CL 500 MDI,27,0.025900900900900897,-0.6693102205951177,1,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
150,Volkswagen Vento Diesel Highline,10,0.04842342342342342,1.153209461881553,1,2,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
151,Toyota Corolla Altis 1.8 VL CVT,5,0.18355855855855854,-0.8837243008864907,4,0,Toyota,26,1.0,0.0,0.0,1.0,0.0
152,Mahindra XUV500 AT W8 FWD,8,0.08108108108108107,-0.4548961403037447,1,0,Mahindra,17,1.0,0.0,0.0,1.0,0.0
153,Chevrolet Aveo U-VA 1.2 LS,14,0.021396396396396393,0.2955531407160608,4,2,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
154,Hyundai i20 Magna Optional 1.2,10,0.036036036036036036,-0.6693102205951177,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
155,Chevrolet Beat Diesel LS,11,0.018018018018018014,-0.23769467696858385,1,0,Chevrolet,3,1.0,0.0,0.0,0.0,1.0
156,Tata Harrier XE,3,0.04572072072072072,-1.398318093585786,1,0,Tata,25,0.0,1.0,0.0,0.0,1.0
157,Maruti Alto 800 LX,7,0.014639639639639638,-0.8837243008864907,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
158,Maruti Alto STD,14,0.005855855855855855,0.08113906042468783,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
159,Volkswagen Polo 1.5 TDI Highline,9,0.04842342342342342,0.2955531407160608,1,2,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
160,Maruti Vitara Brezza ZDi Plus Dual Tone,5,0.1081081081081081,-1.2053454213235502,1,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
161,Toyota Yaris G,5,0.09346846846846846,-1.0100785184021968,4,0,Toyota,26,0.0,0.0,1.0,0.0,1.0
162,Honda Amaze VX O iDTEC,6,0.059684684684684686,-1.1410855214602258,1,0,Honda,9,1.0,0.0,0.0,0.0,1.0
163,Toyota Innova 2.5 G (Diesel) 8 Seater,8,0.09358108108108107,-0.26938507803564876,1,0,Toyota,26,1.0,0.0,0.0,0.0,1.0
164,Fiat Grande Punto EVO 1.3 Dynamic,9,0.03434684684684685,0.08113906042468783,1,0,Fiat,6,0.0,1.0,0.0,0.0,1.0
165,Mahindra Xylo E9,11,0.03153153153153153,4.905455866980581,1,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
166,Maruti 800 DX,20,0.004504504504504504,-0.6693102205951177,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
167,Renault KWID RXT,5,0.038288288288288286,-0.8515621888427848,4,0,Renault,23,0.0,1.0,0.0,0.0,1.0
168,Hyundai Verna 1.6 SX CRDi (O),10,0.06756756756756756,0.08113906042468783,1,2,Hyundai,10,0.0,1.0,0.0,0.0,1.0
169,Hyundai EON 1.0 Era Plus,4,0.04279279279279279,-1.3125524614692368,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
170,Volkswagen Jetta 1.9 TDI Trendline,14,0.10360360360360359,1.582037622464299,1,0,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
171,Honda BR-V i-VTEC VX MT,6,0.09234234234234233,-0.7626661111539815,4,0,Honda,9,1.0,0.0,0.0,0.0,1.0
172,Volkswagen Polo Diesel Trendline 1.2L,12,0.017454954954954954,0.5099672210074339,1,4,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
173,Maruti Swift ZXI Plus,5,0.0653153153153153,-0.7765172607408042,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
174,Hyundai EON Era Plus,11,0.020270270270270268,-0.4334547322746074,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
175,Maruti A-Star Vxi,14,0.010135135135135134,0.9387953815901798,4,1,Maruti,18,0.0,1.0,0.0,0.0,1.0
176,Maruti Esteem Lxi - BSIII,16,0.006193693693693693,-0.261923468041509,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
177,Chevrolet Spark 1.0 LS,13,0.017454954954954954,-0.4548961403037447,4,2,Chevrolet,3,0.0,1.0,0.0,0.0,1.0
178,Mahindra KUV 100 mFALCON G80 K2,7,0.04560810810810811,-0.8837243008864907,4,0,Mahindra,17,0.0,1.0,0.0,0.0,1.0
179,Maruti Wagon R LXI Minor,15,0.020270270270270268,0.5099672210074339,4,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
180,Renault KWID 1.0 RXT Optional,6,0.041666666666666664,-0.7765172607408042,4,0,Renault,23,0.0,1.0,0.0,0.0,1.0
181,Maruti Wagon R LXI Minor,16,0.01295045045045045,-0.3476891001580582,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
182,Renault KWID RXT Optional,7,0.029279279279279275,-0.9266071169447653,4,0,Renault,23,0.0,1.0,0.0,0.0,1.0
183,Volkswagen Polo Diesel Highline 1.2L,10,0.04673412162162162,0.7243813012988068,1,2,Volkswagen,27,0.0,1.0,0.0,0.0,1.0
184,Renault Duster 85PS Diesel RxL,8,0.07094594594594594,0.7243813012988068,1,0,Renault,23,0.0,1.0,0.0,0.0,1.0
185,Maruti Alto K10 2010-2014 VXI,11,0.027027027027027025,-0.5621031804494312,4,0,Maruti,18,0.0,1.0,0.0,0.0,1.0
186,Hyundai Creta 1.6 VTVT S,6,0.09909909909909909,-1.1045708035866049,4,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
187,Mahindra Renault Logan 1.6 Petrol GLSX,14,0.020270270270270268,-0.7765172607408042,4,2,Mahindra,17,0.0,1.0,0.0,0.0,1.0
188,Hyundai Xcent 1.1 CRDi Base,8,0.04504504504504504,-0.1332750198666852,1,0,Hyundai,10,0.0,1.0,0.0,0.0,1.0
189,Maruti Alto 800 LXI,5,0.03209459459459459,-0.6693102205951177,4,0,Maruti,18,1.0,0.0,0.0,0.0,1.0
190,Audi A6 2.0 TDI Premium Plus,10,0.14414414414414414,-0.16543713191039114,1,0,Audi,1,1.0,0.0,0.0,1.0,0.0
191,Toyota Camry Hybrid,17,0.03265765765765766,-0.09039220380841058,2,2,Toyota,26,1.0,0.0,0.0,1.0,0.0
192,Maruti Wagon R LXI DUO BSIII,15,0.011824324324324323,1.8393345188139465,3,2,Maruti,18,0.0,1.0,0.0,0.0,1.0
193,Honda BR-V i-DTEC VX MT,7,0.10022522522522521,-0.4896955455350345,1,0,Honda,9,1.0,0.0,0.0,0.0,1.0
